Estimate Year,Occupied housing units,RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,One race --,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin,"White alone, not Hispanic or Latino",AGE OF HOUSEHOLDER,Under 35 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,YEAR HOUSEHOLDER MOVED INTO UNIT,Moved in 2015 or later,Moved in 2010 to 2014,Moved in 2000 to 2009,Moved in 1990 to 1999,Moved in 1980 to 1989,Moved in 1979 or earlier,Moved in 2017 or later,Moved in 2015 to 2016,Moved in 1989 or earlier,Moved in 2019 or later,Moved in 2015 to 2018,Moved in 2021 or later,Moved in 2018 to 2020,Moved in 2010 to 2017
2017,"2,407",,,"1,080",419,46,594,0,152,116,394,911,,804,465,405,410,217,72,34,,99,218,546,"1,544",,168,903,719,340,150,127,,,,,,,,
2017,"2,407",,,44.9%,17.4%,1.9%,24.7%,0.0%,6.3%,4.8%,16.4%,37.8%,,33.4%,19.3%,16.8%,17.0%,9.0%,3.0%,1.4%,,4.1%,9.1%,22.7%,64.1%,,7.0%,37.5%,29.9%,14.1%,6.2%,5.3%,,,,,,,,
2017,642.0,,,249.0,24.0,13.0,291.0,0.0,0.0,65.0,34.0,224.0,,53.0,132.0,68.0,162.0,142.0,72.0,13.0,,52.0,122.0,160.0,308.0,,16.0,121.0,146.0,178.0,54.0,127.0,,,,,,,,
2017,642,,,38.8%,3.7%,2.0%,45.3%,0.0%,0.0%,10.1%,5.3%,34.9%,,8.3%,20.6%,10.6%,25.2%,22.1%,11.2%,2.0%,,8.1%,19.0%,24.9%,48.0%,,2.5%,18.8%,22.7%,27.7%,8.4%,19.8%,,,,,,,,
2017,"1,765",,,831,395,33,303,0,152,51,360,687,,751,333,337,248,75,0,21,,47,96,386,"1,236",,152,782,573,162,96,0,,,,,,,,
2017,"1,765",,,47.1%,22.4%,1.9%,17.2%,0.0%,8.6%,2.9%,20.4%,38.9%,,42.5%,18.9%,19.1%,14.1%,4.2%,0.0%,1.2%,,2.7%,5.4%,21.9%,70.0%,,8.6%,44.3%,32.5%,9.2%,5.4%,0.0%,,,,,,,,
2017,"1,548",,,853,384,7,154,7,52,91,105,816,,459,379,295,154,168,80,13,,76,92,365,"1,015",,126,828,353,163,43,35,,,,,,,,
2017,"1,548",,,55.1%,24.8%,0.5%,9.9%,0.5%,3.4%,5.9%,6.8%,52.7%,,29.7%,24.5%,19.1%,9.9%,10.9%,5.2%,0.8%,,4.9%,5.9%,23.6%,65.6%,,8.1%,53.5%,22.8%,10.5%,2.8%,2.3%,,,,,,,,
2017,143.0,,,75.0,5.0,0.0,40.0,7.0,0.0,16.0,0.0,75.0,,10.0,25.0,12.0,29.0,28.0,39.0,0.0,,11.0,19.0,31.0,82.0,,7.0,25.0,31.0,35.0,10.0,35.0,,,,,,,,
2017,143,,,52.4%,3.5%,0.0%,28.0%,4.9%,0.0%,11.2%,0.0%,52.4%,,7.0%,17.5%,8.4%,20.3%,19.6%,27.3%,0.0%,,7.7%,13.3%,21.7%,57.3%,,4.9%,17.5%,21.7%,24.5%,7.0%,24.5%,,,,,,,,
2017,"1,405",,,778,379,7,114,0,52,75,105,741,,449,354,283,125,140,41,13,,65,73,334,933,,119,803,322,128,33,0,,,,,,,,
2017,"1,405",,,55.4%,27.0%,0.5%,8.1%,0.0%,3.7%,5.3%,7.5%,52.7%,,32.0%,25.2%,20.1%,8.9%,10.0%,2.9%,0.9%,,4.6%,5.2%,23.8%,66.4%,,8.5%,57.2%,22.9%,9.1%,2.3%,0.0%,,,,,,,,
2017,"1,448",,,619,228,7,463,0,59,72,139,544,,430,279,150,240,167,136,46,,334,57,404,653,,188,759,348,95,31,27,,,,,,,,
2017,"1,448",,,42.7%,15.7%,0.5%,32.0%,0.0%,4.1%,5.0%,9.6%,37.6%,,29.7%,19.3%,10.4%,16.6%,11.5%,9.4%,3.2%,,23.1%,3.9%,27.9%,45.1%,,13.0%,52.4%,24.0%,6.6%,2.1%,1.9%,,,,,,,,
2017,77.0,,,24.0,0.0,0.0,53.0,0.0,0.0,0.0,17.0,7.0,,0.0,0.0,0.0,24.0,8.0,36.0,9.0,,45.0,0.0,25.0,7.0,,7.0,0.0,14.0,8.0,31.0,17.0,,,,,,,,
2017,77,,,31.2%,0.0%,0.0%,68.8%,0.0%,0.0%,0.0%,22.1%,9.1%,,0.0%,0.0%,0.0%,31.2%,10.4%,46.8%,11.7%,,58.4%,0.0%,32.5%,9.1%,,9.1%,0.0%,18.2%,10.4%,40.3%,22.1%,,,,,,,,
2017,"1,371",,,595,228,7,410,0,59,72,122,537,,430,279,150,216,159,100,37,,289,57,379,646,,181,759,334,87,0,10,,,,,,,,
2017,"1,371",,,43.4%,16.6%,0.5%,29.9%,0.0%,4.3%,5.3%,8.9%,39.2%,,31.4%,20.4%,10.9%,15.8%,11.6%,7.3%,2.7%,,21.1%,4.2%,27.6%,47.1%,,13.2%,55.4%,24.4%,6.3%,0.0%,0.7%,,,,,,,,
2017,"1,688",,,450,404,12,493,0,205,124,299,338,,553,323,344,238,149,64,17,,334,272,617,465,,162,814,386,160,110,56,,,,,,,,
2017,"1,688",,,26.7%,23.9%,0.7%,29.2%,0.0%,12.1%,7.3%,17.7%,20.0%,,32.8%,19.1%,20.4%,14.1%,8.8%,3.8%,1.0%,,19.8%,16.1%,36.6%,27.5%,,9.6%,48.2%,22.9%,9.5%,6.5%,3.3%,,,,,,,,
2017,208.0,,,61.0,11.0,0.0,118.0,0.0,0.0,18.0,24.0,37.0,,10.0,21.0,97.0,19.0,29.0,15.0,17.0,,95.0,15.0,35.0,63.0,,9.0,35.0,8.0,42.0,73.0,41.0,,,,,,,,
2017,208,,,29.3%,5.3%,0.0%,56.7%,0.0%,0.0%,8.7%,11.5%,17.8%,,4.8%,10.1%,46.6%,9.1%,13.9%,7.2%,8.2%,,45.7%,7.2%,16.8%,30.3%,,4.3%,16.8%,3.8%,20.2%,35.1%,19.7%,,,,,,,,
2017,"1,480",,,389,393,12,375,0,205,106,275,301,,543,302,247,219,120,49,0,,239,257,582,402,,153,779,378,118,37,15,,,,,,,,
2017,"1,480",,,26.3%,26.6%,0.8%,25.3%,0.0%,13.9%,7.2%,18.6%,20.3%,,36.7%,20.4%,16.7%,14.8%,8.1%,3.3%,0.0%,,16.1%,17.4%,39.3%,27.2%,,10.3%,52.6%,25.5%,8.0%,2.5%,1.0%,,,,,,,,
2017,"1,133",,,219,350,42,319,52,108,43,188,191,,267,351,296,164,25,12,18,,221,167,438,307,,154,573,246,111,34,15,,,,,,,,
2017,"1,133",,,19.3%,30.9%,3.7%,28.2%,4.6%,9.5%,3.8%,16.6%,16.9%,,23.6%,31.0%,26.1%,14.5%,2.2%,1.1%,1.6%,,19.5%,14.7%,38.7%,27.1%,,13.6%,50.6%,21.7%,9.8%,3.0%,1.3%,,,,,,,,
2017,84.0,,,20.0,0.0,0.0,61.0,0.0,3.0,0.0,3.0,20.0,,0.0,27.0,17.0,27.0,0.0,5.0,8.0,,12.0,5.0,47.0,20.0,,9.0,14.0,32.0,16.0,5.0,8.0,,,,,,,,
2017,84,,,23.8%,0.0%,0.0%,72.6%,0.0%,3.6%,0.0%,3.6%,23.8%,,0.0%,32.1%,20.2%,32.1%,0.0%,6.0%,9.5%,,14.3%,6.0%,56.0%,23.8%,,10.7%,16.7%,38.1%,19.0%,6.0%,9.5%,,,,,,,,
2017,"1,049",,,199,350,42,258,52,105,43,185,171,,267,324,279,137,25,7,10,,209,162,391,287,,145,559,214,95,29,7,,,,,,,,
2017,"1,049",,,19.0%,33.4%,4.0%,24.6%,5.0%,10.0%,4.1%,17.6%,16.3%,,25.5%,30.9%,26.6%,13.1%,2.4%,0.7%,1.0%,,19.9%,15.4%,37.3%,27.4%,,13.8%,53.3%,20.4%,9.1%,2.8%,0.7%,,,,,,,,
2017,"1,580",,,533,272,0,663,6,22,84,166,423,,528,236,321,283,108,58,46,,294,256,386,644,,256,566,371,259,79,49,,,,,,,,
2017,"1,580",,,33.7%,17.2%,0.0%,42.0%,0.4%,1.4%,5.3%,10.5%,26.8%,,33.4%,14.9%,20.3%,17.9%,6.8%,3.7%,2.9%,,18.6%,16.2%,24.4%,40.8%,,16.2%,35.8%,23.5%,16.4%,5.0%,3.1%,,,,,,,,
2017,344.0,,,115.0,68.0,0.0,141.0,6.0,0.0,14.0,23.0,92.0,,10.0,17.0,80.0,130.0,60.0,24.0,23.0,,78.0,17.0,122.0,127.0,,33.0,60.0,82.0,111.0,18.0,40.0,,,,,,,,
