Tract ID,Estimate Year,Total population,Under 18 years,Median age (years),18 years and over
4052,2017,"5,125",606,35.8,"4,519"
4053.01,2017,"3,019",326,36.2,"2,693"
4053.02,2017,"2,446",252,40.0,"2,194"
4054.01,2017,"4,014",567,34.9,"3,447"
4054.02,2017,"3,250",713,34.9,"2,537"
4055,2017,"4,124",626,34.7,"3,498"
4056,2017,"3,171",576,36.5,"2,595"
4057,2017,"3,760",602,35.4,"3,158"
4058,2017,"4,472",901,34.4,"3,571"
4059.01,2017,"4,583","1,271",30.1,"3,312"
4059.02,2017,"3,101",672,32.0,"2,429"
4060,2017,"3,184",273,41.1,"2,911"
4052,2018,"5,188",567,35.0,"4,621"
4053.01,2018,"2,955",255,36.3,"2,700"
4053.02,2018,"2,454",251,39.3,"2,203"
4054.01,2018,"3,890",574,34.8,"3,316"
4054.02,2018,"3,275",723,34.9,"2,552"
4055,2018,"4,063",547,36.7,"3,516"
4056,2018,"3,292",486,36.8,"2,806"
4057,2018,"3,434",508,36.8,"2,926"
4058,2018,"4,645",963,35.7,"3,682"
4059.01,2018,"4,348","1,190",29.7,"3,158"
4059.02,2018,"2,979",588,33.6,"2,391"
4060,2018,"3,344",326,42.3,"3,018"
4052,2019,"5,183",573,37.3,"4,610"
4053.01,2019,"2,954",346,36.5,"2,608"
4053.02,2019,"2,373",204,39.5,"2,169"
4054.01,2019,"3,648",511,34.6,"3,137"
4054.02,2019,"3,357",682,34.6,"2,675"
4055,2019,"3,880",541,37.7,"3,339"
4056,2019,"3,269",465,38.5,"2,804"
4057,2019,"3,531",517,34.8,"3,014"
4058,2019,"4,370",968,34.4,"3,402"
4059.01,2019,"4,426","1,077",30.7,"3,349"
4059.02,2019,"2,942",568,36.7,"2,374"
4060,2019,"3,796",487,40.8,"3,309"
4052,2020,"5,159",802,37.8,"4,357"
4053.01,2020,"2,947",305,35.5,"2,642"
4053.02,2020,"2,287",125,37.7,"2,162"
4054.01,2020,"3,670",473,36.3,"3,197"
4054.02,2020,"3,412",616,35.8,"2,796"
4055,2020,"3,674",383,36.7,"3,291"
4056,2020,"3,171",379,38.9,"2,792"
4057,2020,"3,308",437,36.4,"2,871"
4058,2020,"3,931",709,36.5,"3,222"
4059.01,2020,"4,230","1,055",31.3,"3,175"
4059.02,2020,"3,129",590,33.8,"2,539"
4060,2020,"3,890",644,42.5,"3,246"
4052,2021,"4,936",726,38.6,"4,210"
4053.01,2021,"2,988",363,35.6,"2,625"
4053.02,2021,"2,457",113,38.1,"2,344"
4054.01,2021,"3,583",441,37.7,"3,142"
4054.02,2021,"3,492",556,35.3,"2,936"
4055,2021,"3,644",398,37.5,"3,246"
4056,2021,"3,184",352,37.6,"2,832"
4057,2021,"3,722",605,35.8,"3,117"
4058,2021,"4,157",810,37.0,"3,347"
4059.01,2021,"4,175","1,038",32.4,"3,137"
4059.02,2021,"3,063",621,36.5,"2,442"
4060,2021,"4,288",776,42.4,"3,512"
4052,2022,"4,913",697,39.7,"4,216"
4053.01,2022,"2,872",320,35.6,"2,552"
4053.02,2022,"2,559",98,38.1,"2,461"
4054.01,2022,"3,541",395,36.4,"3,146"
4054.02,2022,"3,673",615,37.1,"3,058"
4055,2022,"3,537",436,38.1,"3,101"
4056,2022,"3,044",384,37.6,"2,660"
4057,2022,"3,522",624,35.6,"2,898"
4058,2022,"4,182",983,36.3,"3,199"
4059.01,2022,"3,757","1,070",33.7,"2,687"
4059.02,2022,"3,138",626,35.3,"2,512"
4060,2022,"4,735",814,43.8,"3,921"
