Tract ID,Estimate Year,Total:,White alone,Black or African American alone,Asian alone,Total population,Under 18 years,Median age (years),18 years and over
4052,2017,"5,125","1,930",711,"1,519","5,125",606,35.8,"4,519"
4053.01,2017,"3,019","1,552",757,275,"3,019",326,36.2,"2,693"
4053.02,2017,"2,446",885,367,848,"2,446",252,40.0,"2,194"
4054.01,2017,"4,014","1,061",806,"1,362","4,014",567,34.9,"3,447"
4054.02,2017,"3,250",404,841,"1,117","3,250",713,34.9,"2,537"
4055,2017,"4,124","1,152",585,"2,051","4,124",626,34.7,"3,498"
4056,2017,"3,171","1,221",482,875,"3,171",576,36.5,"2,595"
4057,2017,"3,760",814,"1,229","1,179","3,760",602,35.4,"3,158"
4058,2017,"4,472","1,008","1,053","1,918","4,472",901,34.4,"3,571"
4059.01,2017,"4,583",692,815,"1,652","4,583","1,271",30.1,"3,312"
4059.02,2017,"3,101",590,436,"1,480","3,101",672,32.0,"2,429"
4060,2017,"3,184",837,435,"1,377","3,184",273,41.1,"2,911"
4052,2018,"5,188","2,242",649,"1,564","5,188",567,35.0,"4,621"
4053.01,2018,"2,955","1,438",681,344,"2,955",255,36.3,"2,700"
4053.02,2018,"2,454","1,028",288,796,"2,454",251,39.3,"2,203"
4054.01,2018,"3,890",830,929,"1,418","3,890",574,34.8,"3,316"
4054.02,2018,"3,275",572,984,958,"3,275",723,34.9,"2,552"
4055,2018,"4,063","1,373",612,"1,737","4,063",547,36.7,"3,516"
4056,2018,"3,292","1,234",538,728,"3,292",486,36.8,"2,806"
4057,2018,"3,434",734,877,"1,231","3,434",508,36.8,"2,926"
4058,2018,"4,645","1,155",908,"2,024","4,645",963,35.7,"3,682"
4059.01,2018,"4,348",683,811,"1,492","4,348","1,190",29.7,"3,158"
4059.02,2018,"2,979",496,366,"1,548","2,979",588,33.6,"2,391"
4060,2018,"3,344",799,498,"1,477","3,344",326,42.3,"3,018"
4052,2019,"5,183","2,341",604,"1,635","5,183",573,37.3,"4,610"
4053.01,2019,"2,954","1,679",352,322,"2,954",346,36.5,"2,608"
4053.02,2019,"2,373",861,312,"1,004","2,373",204,39.5,"2,169"
4054.01,2019,"3,648",887,643,"1,277","3,648",511,34.6,"3,137"
4054.02,2019,"3,357",679,894,938,"3,357",682,34.6,"2,675"
4055,2019,"3,880","1,062",879,"1,619","3,880",541,37.7,"3,339"
4056,2019,"3,269","1,292",602,727,"3,269",465,38.5,"2,804"
4057,2019,"3,531",620,747,"1,625","3,531",517,34.8,"3,014"
4058,2019,"4,370","1,074",962,"1,871","4,370",968,34.4,"3,402"
4059.01,2019,"4,426",813,716,"1,618","4,426","1,077",30.7,"3,349"
4059.02,2019,"2,942",390,358,"1,459","2,942",568,36.7,"2,374"
4060,2019,"3,796","1,148",525,"1,590","3,796",487,40.8,"3,309"
4052,2020,"5,159","2,138",480,"2,028","5,159",802,37.8,"4,357"
4053.01,2020,"2,947","1,708",406,368,"2,947",305,35.5,"2,642"
4053.02,2020,"2,287",831,361,893,"2,287",125,37.7,"2,162"
4054.01,2020,"3,670",997,565,"1,184","3,670",473,36.3,"3,197"
4054.02,2020,"3,412",779,682,"1,076","3,412",616,35.8,"2,796"
4055,2020,"3,674","1,004",866,"1,308","3,674",383,36.7,"3,291"
4056,2020,"3,171",919,587,967,"3,171",379,38.9,"2,792"
4057,2020,"3,308",647,"1,077","1,152","3,308",437,36.4,"2,871"
4058,2020,"3,931",803,588,"1,833","3,931",709,36.5,"3,222"
4059.01,2020,"4,230",660,552,"1,508","4,230","1,055",31.3,"3,175"
4059.02,2020,"3,129",470,322,"1,552","3,129",590,33.8,"2,539"
4060,2020,"3,890",959,723,"1,454","3,890",644,42.5,"3,246"
4052,2021,"4,936","1,966",519,"1,834","4,936",726,38.6,"4,210"
4053.01,2021,"2,988","1,570",431,434,"2,988",363,35.6,"2,625"
4053.02,2021,"2,457",944,522,748,"2,457",113,38.1,"2,344"
4054.01,2021,"3,583","1,024",515,"1,168","3,583",441,37.7,"3,142"
4054.02,2021,"3,492",823,580,"1,066","3,492",556,35.3,"2,936"
4055,2021,"3,644","1,244",633,"1,140","3,644",398,37.5,"3,246"
4056,2021,"3,184","1,079",574,780,"3,184",352,37.6,"2,832"
4057,2021,"3,722",624,"1,024","1,182","3,722",605,35.8,"3,117"
4058,2021,"4,157",657,701,"2,031","4,157",810,37.0,"3,347"
4059.01,2021,"4,175",827,467,"1,466","4,175","1,038",32.4,"3,137"
4059.02,2021,"3,063",506,323,"1,192","3,063",621,36.5,"2,442"
4060,2021,"4,288","1,109",614,"1,761","4,288",776,42.4,"3,512"
4052,2022,"4,913","1,812",680,"1,939","4,913",697,39.7,"4,216"
4053.01,2022,"2,872","1,460",410,447,"2,872",320,35.6,"2,552"
4053.02,2022,"2,559",884,605,795,"2,559",98,38.1,"2,461"
4054.01,2022,"3,541",961,476,"1,132","3,541",395,36.4,"3,146"
4054.02,2022,"3,673",880,561,"1,315","3,673",615,37.1,"3,058"
4055,2022,"3,537",838,690,"1,313","3,537",436,38.1,"3,101"
4056,2022,"3,044","1,241",544,672,"3,044",384,37.6,"2,660"
4057,2022,"3,522",609,985,934,"3,522",624,35.6,"2,898"
4058,2022,"4,182",630,850,"1,815","4,182",983,36.3,"3,199"
4059.01,2022,"3,757",434,643,"1,261","3,757","1,070",33.7,"2,687"
4059.02,2022,"3,138",407,234,"1,275","3,138",626,35.3,"2,512"
4060,2022,"4,735",967,910,"1,939","4,735",814,43.8,"3,921"
