base_scenario,test_name,changed_field,change_mode,change_value,base_field_value,test_field_value,annual_total_cost,annual_subscription_revenue,annual_net_operating,direct_jobs_created,clinic_visits_per_week,medical_rides_per_week,projected_unemp_rate_pct,projected_dental_visit_gap_pct,projected_uninsured_adults_pct,projected_obesity_pct,projected_diabetes_pct,delta_annual_total_cost,delta_annual_subscription_revenue,delta_annual_net_operating,delta_direct_jobs_created,delta_clinic_visits_per_week,delta_medical_rides_per_week,delta_projected_unemp_rate_pct_points,delta_projected_dental_gap_pct_points,delta_projected_uninsured_pct_points,delta_projected_obesity_pct_points,delta_projected_diabetes_pct_points
full,Driver pay +10%,hourly_driver_pay,pct,0.1,20.0,22.0,13848800.000000002,4800000.0,-9048800.000000002,430.00000000000006,512.0,2580.0000000000005,11.601357142857143,55.553424,14.905215,43.468348999999996,19.787827999999998,1518400.0000000019,0.0,-1518400.0000000019,30.000000000000057,0.0,180.00000000000045,-0.01392857142857018,0.0,-0.07199999999999918,0.0,0.0
full,Driver pay +20%,hourly_driver_pay,pct,0.2,20.0,24.0,15492000.0,4800000.0,-10692000.0,460.0,512.0,2760.0,11.587428571428573,55.553424,14.833215,43.468348999999996,19.787827999999998,3161600.0,0.0,-3161600.0,60.0,0.0,360.0,-0.02785714285714036,0.0,-0.14400000000000013,0.0,0.0
full,Driver pay -10%,hourly_driver_pay,pct,-0.1,20.0,18.0,10936800.0,4800000.0,-6136800.0,370.0,512.0,2220.0,11.629214285714285,55.553424,15.049215,43.468348999999996,19.787827999999998,-1393600.0,0.0,1393600.0,-30.0,0.0,-180.0,0.013928571428571956,0.0,0.07200000000000095,0.0,0.0
full,Drivers +10%,n_drivers,pct,0.1,500.0,550.0,13162400.0,4800000.0,-8362400.0,440.0,512.0,2640.0,11.596714285714286,55.553424,14.881215000000001,43.468348999999996,19.787827999999998,832000.0,0.0,-832000.0,40.0,0.0,240.0,-0.018571428571426907,0.0,-0.09599999999999831,0.0,0.0
full,Drivers +20%,n_drivers,pct,0.2,500.0,600.0,13994400.0,4800000.0,-9194400.0,480.0,512.0,2880.0,11.578142857142858,55.553424,14.785215,43.468348999999996,19.787827999999998,1664000.0,0.0,-1664000.0,80.0,0.0,480.0,-0.03714285714285559,0.0,-0.1919999999999984,0.0,0.0
full,Drivers -10%,n_drivers,pct,-0.1,500.0,450.0,11498400.0,4800000.0,-6698400.0,360.0,512.0,2160.0,11.633857142857144,55.553424,15.073215,43.468348999999996,19.787827999999998,-832000.0,0.0,832000.0,-40.0,0.0,-240.0,0.01857142857143046,0.0,0.09600000000000009,0.0,0.0
full,Seed cost +25%,seed_cost_per_month,pct,0.25,15000.0,18750.0,12375400.0,4800000.0,-7575400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,43.468348999999996,19.787827999999998,45000.0,0.0,-45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Seed cost +50%,seed_cost_per_month,pct,0.5,15000.0,22500.0,12420400.0,4800000.0,-7620400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,43.468348999999996,19.787827999999998,90000.0,0.0,-90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Mobile clinic cost +25%,mobile_clinic_cost_per_month,pct,0.25,90000.0,112500.0,12600400.0,4800000.0,-7800400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,43.468348999999996,19.787827999999998,270000.0,0.0,-270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Mobile clinic cost +50%,mobile_clinic_cost_per_month,pct,0.5,90000.0,135000.0,12870400.0,4800000.0,-8070400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,43.468348999999996,19.787827999999998,540000.0,0.0,-540000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Produce baskets +10%,produce_baskets_per_week,pct,0.1,1800.0,1980.0000000000002,12330400.0,4800000.0,-7530400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,43.198349,19.607827999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.269999999999996,-0.17999999999999972
full,Produce baskets +20%,produce_baskets_per_week,pct,0.2,1800.0,2160.0,12330400.0,4800000.0,-7530400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,42.928349,19.427827999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5399999999999991,-0.35999999999999943
full,Subscription members +10%,subscription_members,pct,0.1,5000.0,5500.0,12330400.0,5280000.0,-7050400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,43.468348999999996,19.787827999999998,0.0,480000.0,480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Subscription members +20%,subscription_members,pct,0.2,5000.0,6000.0,12330400.0,5760000.0,-6570400.0,400.0,512.0,2400.0,11.615285714285713,55.553424,14.977215,43.468348999999996,19.787827999999998,0.0,960000.0,960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
